classifier	best_celltype_new	name	gname	Known Marker	HSC_NO	MPP_NO	LMPP_NO	CLP_NO	pDC_NO	CMP_NO	GMP_NO	MEP_NO	HSC_VIP	MPP_VIP	LMPP_VIP	CLP_VIP	CMP_VIP	GMP_VIP	MEP_VIP	pDC_VIP
BM1	HSC	ENSG00000142611	PRDM16	HSC	7.17102414	7.367318848	7.430553904	7.482534704	7.44227499	7.308591482	7.401598199	7.414559938	2.283650673	0.915949785	0.734836316	1.398787117	0.759332596	0.615076789	0.384512498	1.239093488
BM2	HSC	ENSG00000142583	SLC2A5	0	4.088055073	4.629673458	4.25428733	4.923858125	4.907062713	4.719911775	4.695694182	4.792107304	1.992757941	0.616962194	1.846848087	1.288462132	0.498984414	0.546353671	0.773300873	1.062526178
BM3	HSC	ENSG00000215704	CELA2B	0	3.215387745	3.744466392	4.012211165	3.85595283	4.152467719	3.921377697	3.591095	4.096336391	1.79150885	1.147747699	0.822015955	0.559908919	0.488979495	1.035179146	0.897819697	1.075343773
BM4	HSC	ENSG00000004487	KDM1A	0	5.206380427	5.55211371	5.65231781	5.712570944	5.562001508	5.5527444	5.56354845	5.513069893	2.065843398	0.352153289	0.94133881	1.13501795	0.20358501	0.263645832	0.389846644	0.4311785
BM5	HSC	ENSG00000125944	HNRNPR	0	4.355131473	4.930611882	4.86617228	4.944692222	5.168743805	4.672339354	4.688117041	4.635216246	1.780002481	0.745621522	0.472599769	0.959444674	0.513908634	0.565631545	0.669184976	1.403577958
BM6	HSC	ENSG00000197245	FAM110D	0	0.325768563	1.18501236	0.390764603	0.634268447	1.022418628	0.476969104	0.600190483	0.760669552	1.168368009	1.64655347	1.174447958	0.242306758	0.6937075	0.286201415	0.403187793	1.019424781
BM7	HSC	ENSG00000130768	SMPDL3B	0	3.034621403	3.688518584	3.839251679	3.664833824	3.821192944	3.290015771	3.801023786	3.988096329	1.816003892	0.898253538	0.84218466	0.503579347	1.180460712	0.651047467	1.109847374	0.943716658
BM8	HSC	ENSG00000163875	MEAF6	0	2.855454749	3.721959461	3.589467355	3.585127093	3.986355858	3.152526839	3.719702135	3.831552862	1.825405218	0.623280085	0.148117528	0.465326392	1.204458713	0.570165081	0.770943346	1.000470626
BM9	HSC	ENSG00000198198	SZT2	0	5.025105857	5.300648332	5.434435933	5.351433315	5.21507245	5.121350478	5.46356688	5.329593744	1.614606793	0.591426318	1.24741746	0.692594099	1.155102296	1.528838044	0.303242411	1.11690703
BM10	HSC	ENSG00000157216	SSBP3	0	6.452432996	6.694850884	6.713163581	6.93003577	6.771157562	6.598831721	6.794634142	6.657127228	2.20849173	0.672970745	0.20334941	2.064297595	1.032258216	1.055820822	0.602496476	0.943887885
