classifier	best_celltype_new	name	gname	Known Marker	HSC_NO	MPP_NO	LMPP_NO	CLP_NO	pDC_NO	CMP_NO	GMP_NO	MEP_NO	HSC_VIP	MPP_VIP	LMPP_VIP	CLP_VIP	CMP_VIP	GMP_VIP	MEP_VIP	pDC_VIP
UCB1	HSC	ENSG00000224051	GLTPD1	0	0	0.679991164	0.31448974	1.231490264	0.921337873	0.363856989	0.220819784	0.310160988	1.704511833	0.810121684	0.7441635	2.173056215	0.574968537	0.910909398	0.673071394	1.36959526
UCB2	HSC	ENSG00000205090	TMEM240	0	0.268281122	1.196009935	0.86713837	0.917356408	1.454848508	1.31756631	0.919629316	0.751676509	1.839471279	0.790622451	0.388298463	0.448539399	1.130557763	0.312546843	0.503660506	1.213190637
UCB3	HSC	ENSG00000116151	MORN1	0	4.495319734	4.827001149	4.75903217	4.885976876	4.901012648	4.747577049	5.084393426	5.082438922	1.821636275	0.634263968	0.691311296	0.724043266	0.688056156	1.302378455	1.277699209	0.494462943
UCB4	HSC	ENSG00000142611	PRDM16	HSC	7.078074547	7.096615403	7.252666867	7.483664577	7.480782087	7.233864121	7.38145035	7.386547494	1.947693534	1.610590952	1.219317495	1.813068748	1.072753631	0.986016709	0.847996086	1.516200424
UCB5	HSC	ENSG00000159363	ATP13A2	0	2.233708925	2.871459371	3.461738925	3.170986804	3.308906521	3.518554786	3.189593996	3.204797372	2.401467207	0.69294682	1.096870549	0.660156034	1.309715587	0.423847209	0.373500942	0.614281326
UCB6	HSC	ENSG00000158748	HTR6	0	2.325544482	3.516190502	2.919750309	3.423357814	3.172548672	2.651854904	3.136868719	3.12889836	1.895259651	1.375649429	0.378759653	0.979397686	1.040302387	0.567608214	0.452294486	0.615202331
UCB7	HSC	ENSG00000060688	SNRNP40	0	4.363155934	4.817344556	4.618386921	4.537085642	4.524678646	4.949068188	4.703504744	4.369378014	1.246198711	1.016864809	0.312712971	0.874842408	1.679756168	0.579209762	1.092220878	0.454598135
UCB8	HSC	ENSG00000116883	RP11-268J15.5	0	0.969973266	1.053190712	0.947191987	1.087355192	1.660106562	1.249612466	1.751166616	1.937312	0.876814985	0.549456816	0.791514314	0.674120808	0.324840058	1.067338159	1.630604286	1.037162884
UCB9	HSC	ENSG00000198815	FOXJ3	0	6.70388153	6.728554298	6.780660952	6.859416651	6.782738916	6.812191643	6.89103961	6.975478971	1.229444945	0.923787633	0.361867868	0.459079933	0.589719828	0.811269636	1.757011016	0.418838808
UCB10	HSC	ENSG00000198520	C1orf228	0	4.306569162	4.706823739	4.81697052	4.722129265	4.643216545	4.890968599	4.947662211	4.762892885	2.046498107	0.431175641	0.643975766	0.600256244	1.042455772	1.118402415	0.892799397	0.53219267
UCB11	HSC	ENSG00000162374	ELAVL4	0	6.837312414	6.90677753	6.998220815	6.85837098	7.179532724	6.990443381	7.012885457	7.079630758	1.510947359	0.64311925	0.653941655	1.236259817	0.573398715	0.571576236	1.311725101	1.936191003
UCB12	HSC	ENSG00000157077	ZFYVE9	0	7.20693181	7.316992735	7.219624231	7.293172315	7.248910775	7.288823987	7.23234812	7.437768146	1.022980886	0.613426775	0.804697462	0.633961891	0.346134615	0.648624919	1.966645269	0.499590216
UCB13	HSC	ENSG00000137960	GIPC2	0	6.937512281	7.054180687	7.181992604	7.047873558	7.094836959	7.003058129	7.030335409	7.076220154	1.551395905	0.241314005	1.665686263	0.366878606	0.709223612	0.346449124	0.391957791	0.61913148
UCB14	HSC	ENSG00000179902	C1orf194	0	1.799117888	2.136918267	2.070710813	2.19946913	2.342922258	2.785259339	2.993555215	1.955397037	1.123616049	0.332667941	0.465774667	0.51068795	1.317289821	1.704535198	0.759546601	0.495384
UCB15	HSC	ENSG00000143412	ANXA9	0	1.973662162	2.67377381	3.013773009	2.652571772	2.766518499	2.443261184	3.355583335	2.762007736	1.720643436	0.394933305	0.82964818	0.420710491	0.75594306	1.61452069	0.419046856	0.345626653
UCB16	HSC	ENSG00000163462	TRIM46	0	1.070413008	1.871853674	1.434833541	1.625461203	2.399450881	2.148973027	2.214708852	1.541995862	1.641418329	0.648821809	0.854984162	0.809680092	1.124078107	1.175530603	0.745260978	1.358734922
UCB17	HSC	ENSG00000163467	TSACC	0	1.88593413	2.144858326	1.962021349	2.714443906	2.540468633	3.151596288	2.957745726	2.403515971	1.440835625	0.894667553	1.237646509	1.136425776	1.787457042	1.245208872	0.48260723	0.635300649
UCB18	HSC	ENSG00000188004	C1orf204	0	3.066198804	3.786691307	3.675825875	3.916767605	3.786789294	3.690077957	4.008614454	3.290039986	1.947919811	0.562538465	0.481180264	0.9050272	0.3004221	1.31435247	1.147126641	0.55599916
UCB19	HSC	ENSG00000143199	ADCY10	0	6.104508015	6.333217519	6.353637474	6.374609343	6.334209768	6.228445546	6.305957777	6.497123234	2.032437111	0.404206516	0.484623417	0.652614119	0.861801185	0.154968339	1.801083019	0.662504881
UCB20	HSC	ENSG00000116852	KIF21B	0	4.607246118	5.035957241	4.742356808	5.320986718	4.673858095	4.833004793	4.944797769	4.819738124	1.315876206	0.838341026	0.744436076	1.785599615	0.481988143	0.405286105	0.439257951	0.980213209
UCB21	HSC	ENSG00000163531	NFASC	0	6.998013909	7.139453305	7.097706587	7.170397865	7.247677971	7.040224033	7.240107008	7.200425448	1.672218822	0.930870496	0.602653694	1.065216388	1.204271926	1.256946761	1.096543739	1.178892846
UCB22	HSC	ENSG00000183780	SLC35F3	0	8.296676318	8.382571489	8.476925294	8.402282292	8.484926768	8.351685238	8.364509562	8.454563683	1.857713094	0.449658936	1.355292912	0.330318384	0.852513659	0.570828705	1.065119117	1.365249863
UCB23	HSC	ENSG00000203667	COX20	0	2.310110403	2.746724086	2.727713011	2.394099958	2.380578816	2.963986425	2.484631881	3.42998706	1.048334966	0.264263666	0.474847115	0.826265839	0.783195609	0.570617232	1.86187545	0.813963184
UCB24	HSC	ENSG00000177275	OR2AJ1	0	0.166450384	0.687147199	0.267253109	1.190814104	0.622085861	0.837547399	0.202226579	0.328338617	1.269439214	0.631451605	0.875311976	2.043050493	1.052361763	1.135894761	0.69381423	0.453094124
